Pro,L,Dock,Ship,Pcs,Wgt,LdTrlr,LdDoor,LoadTS,LoadDOW,LoadInterval,Dest,LoadTo,LoadToParent
293291875X,L,OB,1,1,279,211498,59,40:00.0,4,3:00,847,830,830
2932918769,L,OB,1,1,699,211498,59,40:00.0,4,3:00,830,830,830
2932918778,L,OB,1,1,183,127898,83,01:00.0,5,3:00,100,123,123
2932918787,L,OB,1,1,186,128901,87,08:00.0,5,0:00,108,108,108
2932918796,L,OB,1,1,221,130634,47,57:00.0,5,9:00,315,309,309
2932918805,L,OB,1,1,253,128754,16,40:00.0,5,5:00,272,272,272
2932918832,L,OB,1,1,221,124616,64,19:00.0,6,3:00,801,873,873
2932918850,L,OB,1,1,355,135973,95,02:00.0,7,8:00,143,135,135
293291886X,L,OB,1,1,208,121942,45,55:00.0,7,6:00,658,309,309
2932918879,L,OB,1,2,385,140190,61,20:00.0,7,14:00,891,890,890
2932918888,L,OB,1,1,202,41204,16,51:00.0,7,5:00,272,272,272
2932918888,L,OB,1,1,202,41204,18,53:00.0,7,9:00,272,272,272
2932918897,L,OB,1,1,88,135629,30,13:00.0,7,4:00,104,205,205
2932918906,L,OB,1,1,315,135645,68,10:00.0,7,10:00,152,153,153
2932918915,L,OB,1,1,202,140190,61,57:00.0,7,13:00,890,890,890
2932918924,L,OB,1,1,208,249336,87,09:00.0,7,7:00,108,108,108
2932918933,L,OB,1,1,265,136623,37,38:00.0,7,13:00,642,642,642
2932918951,L,OB,1,1,212,126723,54,58:00.0,7,13:00,878,841,841
2932918960,L,OB,1,2,234,126723,54,58:00.0,7,13:00,841,841,841
293291897X,L,OB,1,1,236,126723,54,58:00.0,7,13:00,841,841,841
